"","lgID","yearID","playerID","IPouts","WAR","pops","scale_WAR","WAR_talent"
"8170","AL",1931,"koenima01",21,0.01,10041000,0.07,17166.1275061175
"8171","AL",1923,"drakelo01",13,0.07,9227000,0.49,17165.784378432
"8172","NL",1896,"hollibu01",3,-0.16,5352000,-1.12,17161.1041119336
"8173","NL",1908,"sincobe01",14,0.04,7956000,0.28,17152.8349038225
"8174","AL",1930,"childha01",30,-0.01,9920000,-0.07,17152.6835844499
"8175","NL",1943,"niemeja01",9,-0.08,11568000,-0.56,17149.8012743534
"8176","AL",1947,"ardizru01",6,-0.04,12152000,-0.28,17149.6555579222
"8177","AL",1951,"medliir01",29,-0.21,13289000,-1.47,17149.5363070922
"8178","AL",1902,"mertesa01",14,0.07,6174000,0.49,17149.4600288263
"8179","NL",1936,"bertrle01",6,-0.02,10646000,-0.14,17148.4571766172
"8180","NL",1922,"murraji02",18,0.1,9128000,0.7,17137.6910185196
"8181","AL",1933,"winstha01",20,-0.01,10283000,-0.07,17130.8021124569
"8182","AL",1934,"pomorjo01",5,-0.02,10404000,-0.14,17120.7056154763
"8183","NL",1926,"vargubi01",9,0.08,9524000,0.56,17115.472517713
"8184","NL",1964,"bradedo01",7,-0.58,22188000,-4.06,17115.0646936481
"8185","AL",1912,"herrihe01",3,0.07,8626000,0.49,17112.4466646275
"8186","AL",1938,"liebhgl02",9,0.03,10888000,0.21,17094.6805387772
"8187","AL",1969,"lawro01",157,-0.46,25448000,-3.22,17093.2349418503
"8188","AL",1925,"cobbty01",3,0.08,9425000,0.56,17092.6922145342
"8189","AL",1939,"stromfl01",39,0.08,11009000,0.56,17083.8098981251
"8190","AL",1919,"whitech01",36,-0.02,8892000,-0.14,17081.4824193119
"8191","NL",1935,"osborwa01",4,-0.01,10525000,-0.07,17079.3921685258
"8192","NL",1892,"grifffr01",12,-0.17,5124000,-1.19,17079.2105816148
"8193","AL",1930,"mulrofr01",9,-0.01,9920000,-0.07,17078.9733917119
"8194","AL",1929,"blackle01",1,0.02,9821000,0.14,17077.8175049919
"8195","AL",1912,"neherji01",3,0.07,8626000,0.49,17063.2321629812
"8196","NL",1951,"dempsco01",21,-0.21,13289000,-1.47,17062.4076263068
"8197","AL",1957,"hillda01",7,-0.41,17483000,-2.87,17059.2259033077
