"","lgID","yearID","playerID","IPouts","WAR","pops","scale_WAR","WAR_talent"
"5918","AL",1920,"burwebi01",340,1.58,8930000,11.06,30655.5466613735
"5919","NL",1887,"shrevle01",366,0.01,4827000,0.07,30647.5452543605
"5920","NL",1998,"steenke01",10,-0.1,59384000,-0.7,30642.7392080289
"5921","NL",1941,"pearsik01",408,1.12,11276000,7.84,30639.6873518924
"5922","AL",2019,"gordoal01",7,-0.14,95819000,-0.98,30638.6749421946
"5923","NL",2007,"zaratma01",15,-0.15,72551000,-1.05,30620.3359000119
"5924","NL",2018,"vastoje01",13,-0.19,93638000,-1.33,30614.4385504085
"5925","AL",2016,"wielajo01",15,-0.23,89276000,-1.61,30611.68238845
"5926","AL",2004,"narrosa02",8,-0.15,68912000,-1.05,30598.6941938641
"5927","NL",2019,"bourqja01",2,-0.14,95819000,-0.98,30598.3443835708
"5928","NL",2000,"seelbch02",5,-0.12,64060000,-0.84,30592.9953207926
"5929","NL",1996,"alstoga01",18,-0.1,54708000,-0.7,30591.1975254273
"5930","AL",1964,"loundo01",39,0.42,22188000,2.94,30585.8533999248
"5931","AL",1957,"sleatlo01",208,0.49,17483000,3.43,30584.2099369005
"5932","AL",1983,"waltemi01",177,0.16,37663000,1.12,30582.3234705937
"5933","NL",1962,"steevmo01",45,0.58,20884000,4.06,30574.6212217956
"5934","NL",2019,"garciri01",18,-0.14,95819000,-0.98,30558.1674923782
"5935","NL",2000,"villeis01",8,-0.12,64060000,-0.84,30542.2930771651
"5936","NL",1998,"grzanmi01",3,-0.1,59384000,-0.7,30535.6601173676
"5937","NL",2015,"banuema01",79,-0.18,87095000,-1.26,30522.4309977487
"5938","AL",2009,"abreuwi01",18,-0.17,74977000,-1.19,30522.0628443411
"5939","NL",1980,"stablge01",35,0.16,36370000,1.12,30502.4312907327
"5940","AL",2010,"lewisro01",56,-0.22,76190000,-1.54,30499.576113489
"5941","AL",1991,"barfijo01",250,0.01,43018000,0.07,30498.814810502
"5942","AL",1990,"smithda04",20,0.14,40680000,0.98,30493.8380586751
"5943","NL",1966,"rustedi01",72,0.31,23492000,2.17,30492.5762756613
